GeoJSON_Zone_Name,Official_DLD_Name_Match
ABU HAIL,Abu Hail
AL AWIR FIRST,Al Aweer First
AL AWIR SECOND,Al Aweer Second
AL BADA',Al Bada
AL BARAHA,Al Baraha
AL BARSHA FIRST,Al Barsha First
AL BARSHA SECOND,Al Barsha Second
AL BARSHA SOUTH FIFTH,Al Barsha South Fifth
AL BARSHA SOUTH FIRST,Al Barshaa South First
AL BARSHA SOUTH FOURTH,Al Barsha South Fourth
AL BARSHA SOUTH SECOND,Al Barshaa South Second
AL BARSHA SOUTH THIRD,Al Barshaa South Third
AL BARSHA THIRD,Al Barsha Third
AL BUTEEN,Al Buteen
AL CORNICHE,
AL DAGHAYA,Al Dhagaya
AL FAGAA,Al Faga'A
AL GARHOUD,Al Garhoud
AL HAMRIYA,Al Hamriya
AL HAMRIYA PORT,
AL HATHMAH,
AL HEBIAH FIFTH,Al Hebiah Fifth
AL HEBIAH FIRST,Al Hebiah First
AL HEBIAH FOURTH,Al Hebiah Fourth
AL HEBIAH SECOND,Al Hebiah Second
AL HEBIAH SIXTH,Al Hebiah Sixth
AL HEBIAH THIRD,Al Hebiah Third
AL HUDAIBA,Al Hudaiba
AL JADAF,Al Jadaf
AL JAFILIYA,Al Jafliya
AL KARAMA,Al Karama
AL KHABAISI,Al Khabeesi
AL KHEERAN,Al Kheeran
AL KHEERAN FIRST,Al Khairan First
AL KHWANEEJ FIRST,Al Khawaneej First
AL KHWANEEJ SECOND,Al Khawaneej Second
AL KIFAF,Al Kifaf
AL LAYAN 1,Al Layan1
AL LAYAN 2,
AL LESAILY,Al Lusaily
AL MAHA,Al Maha
AL MAMZAR,Al Mamzer
AL MANARA,Al Manara
AL MARMOOM,
AL MERKADH,Al Merkadh
AL MERYAL,
AL MIZHAR FIRST,Al Mizhar First
AL MIZHAR SECOND,Al Mizhar Second
AL MURAQQABAT,Al Murqabat
AL MURAR,Al Mararr
AL MUTEENA,Al Muteena
AL NAHDA FIRST,Al Nahda First
